13	1943-19-07	44.855557915000475	15.34110760100043	Croatia	Popovici
40	1944-14-07	45.12438656000046	16.82170571600045	Bosnia-Herzegovina	Bulici
94	1944-13-08	42.390627148000476	18.914168535000442	Montenegro	Cetinje
120	1943-22-07	46.128328472000476	16.46249809100044	Croatia	Kalnik
122	1943-05-10	45.26610598400049	15.228608584000426	Croatia	Ogulin
149	1944-20-10	44.016665856000486	20.916666338000425	Serbia	Kragujevac
329	1942-04-12	45.814436326000475	15.977976587000455	Croatia	Zagreb
338	1944-21-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
391	1944-01-12	43.84863726700047	18.35643852700042	Bosnia-Herzegovina	Sarajevo
516	1943-24-09	43.14416628000049	19.481109226000456	Montenegro	Gusino Brdo
681	1943-14-10	42.77309770800048	18.944459847000473	Montenegro	Niksic
886	1944-17-09	43.2849992830005	16.875556937000454	Croatia	Sumartin
1035	1944-31-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
1074	1944-30-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
1112	1944-15-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
1244	1944-19-06	44.44582877300047	18.149717871000462	Bosnia-Herzegovina	Zavidovici
1388	1944-30-11	44.016665856000486	20.916666338000425	Serbia	Kragujevac
1406	1945-13-04	45.28832951200047	18.804715748000433	Croatia	Vinkowci
1434	1944-25-10	44.18223766400047	17.808697632000474	Bosnia-Herzegovina	Ljubic
1477	1944-16-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
1491	1943-06-09	46.20916829800046	16.419166936000465	Croatia	Varazdinske Toplice
1726	1944-30-10	43.9035773920005	22.264049274000456	Serbia	Zajecar
1737	1944-18-10	43.054169766000484	17.648327363000476	Croatia	Metkovic
1810	1944-05-02	42.27000635100046	23.607819031000474	Bulgaria	Borovetz
1934	1945-17-02	43.3074972870005	17.786456106000458	Bosnia-Herzegovina	Ulog
2011	1945-21-03	44.872777887000495	18.808328927000446	Bosnia-Herzegovina	Brcko
2236	1944-02-01	44.77582949000049	17.185556929000427	Bosnia-Herzegovina	Banja-Luka
2239	1945-17-11	45.29805764800045	19.09499848900043	Croatia	Sotin
2319	1944-04-10	44.695426125000495	20.483048816000462	Serbia	Pinosawa
2361	1944-16-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
2432	1943-07-02	44.80372701400046	16.259417612000448	Bosnia-Herzegovina	Jassenica
2467	1944-30-11	43.725829665000504	20.689436502000433	Serbia	Kraljevo
2547	1944-16-06	46.55471963500048	15.64666648600047	Slovenia	Maribor
2549	1945-22-01	45.19749607200049	19.259998847000475	Croatia	Bapska
2867	1944-22-07	44.20433970300047	17.340365691000443	Bosnia-Herzegovina	Babin Potok
2914	1943-28-12	43.84863726700047	18.35643852700042	Bosnia-Herzegovina	Sarajevo
2968	1944-28-12	44.81693784200047	15.870827595000435	Bosnia-Herzegovina	Bihac
3037	1943-??-12	44.53841705700046	18.66708646100045	Bosnia-Herzegovina	Tuzla
3174	1944-20-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
3226	1943-20-08	45.286768150000455	17.809377072000473	Croatia	Pleternica
3245	1945-29-06	44.80400599000046	20.465126906000478	Serbia	Belgrad
3256	1945-29-07	44.84305802400047	20.40110658800046	Serbia	Zemun
3450	1944-11-10	44.4386069140005	20.699169138000457	Serbia	Mladenovaes
3508	1944-29-10	51.64785818100046	15.765478443000461	Poland	Bukowica
3574	1944-20-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
3587	1944-22-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
3655	1943-30-04	44.882497024000486	16.151386699000454	Bosnia-Herzegovina	Bosanska Krupa
3686	1943-21-10	42.44110816800048	19.26360752700043	Montenegro	Podgorica
3742	1944-15-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
3808	1944-19-10	44.016665856000486	20.916666338000425	Serbia	Kragujevac
3866	1943-17-06	43.734459899000456	18.673466895000445	Bosnia-Herzegovina	Lucevica
3906	1943-15-02	45.25082983900046	19.39193613900045	Serbia	Palanka
3966	1944-31-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
4061	1944-22-12	45.14666858200047	18.883886222000456	Croatia	Otok
4426	1943-20-09	45.4261072860005	17.882495584000424	Croatia	Kutjevo
4626	1944-12-10	44.80400599000046	20.465126906000478	Serbia	Belgrad
4919	1944-08-10	43.9035773920005	22.264049274000456	Serbia	Zajecar
5025	1944-28-10	43.725829665000504	20.689436502000433	Serbia	Kraljevo
5217	1942-01-12	45.89860585700046	16.84888780400047	Croatia	Bjelovar
5278	1944-02-06	46.224439943000505	14.205556867000439	Slovenia	Selca
5290	1944-30-10	43.89026757300047	20.33844964800045	Serbia	Cacak
5301	1944-12-03	42.55383666500046	19.146077956000454	Montenegro	Danilovgrad
5309	1945-21-03	44.829437733000475	18.724438371000474	Bosnia-Herzegovina	Brka
5434	1945-08-03	45.36277990500048	18.91110880700046	Croatia	Brsadin
5451	1943-08-06	46.24610552100046	16.707217875000424	Croatia	Martinic
5496	1943-31-03	44.882497024000486	16.151386699000454	Bosnia-Herzegovina	Bosanska Krupa
5632	1945-15-02	44.09471593000046	15.398329023000429	Croatia	Mostar
5780	1944-09-12	45.343328131000476	18.999719444000448	Croatia	Vukovar
5863	1943-29-11	42.99805974500049	21.94610748700046	Serbia	Leskovac
6077	1944-15-12	45.343328131000476	18.999719444000448	Croatia	Vukovar
6097	1944-23-10	43.89026757300047	20.33844964800045	Serbia	Cacak
