City,Country,Longitude,Latitude,Alternate Names found in Archives,notes
Marciano,Italie,11.7865654,43.3243604,,
Savino,Italie,11.7292058,43.3291955,,
Volterra,Italie,10.8660333,43.399395,,
Recanati,Italie,13.5495324,43.4035649,,
Citta de Castella,Italie,12.2319048,43.4577876,,
Castellina,Italie,11.2856676,43.4715142,,
Castellini,Italie,11.2856676,43.4715142,,
Près Castellina,Italie,11.2856676,43.4715142,,
Poggibonsi,Italie,11.146754,43.4725646,,
Laiatiro,Italie,10.7286715,43.4757758,,
Lajatico,Italie,10.7286715,43.4757758,,
Arcevia,Italie,12.9391003,43.4981302,,
Rada,Italie,11.3544525,43.5017642,,
San Biagio,Italie,13.4967031,43.5166434,,
Petrognano,Italie,11.1429365,43.5353202,,
Loro - Ciuffenna,Italie,11.6319048,43.5927689,,
Cenaja,Italie,10.532982,43.6062406,,
Mercatale,Italie,11.2305805,43.6352484,,
San Miniato,Italie,10.8551196,43.6829641,,
San Miniato,Italie,10.8551,43.683,bei San Miniato,
Castel del Broglie,Italie,13.1074469,43.6841751,,
Ippruneta,Italie,11.2581395,43.6845156,,
Monteporzie,Italie,13.041455,43.7030168,,
Pisa Arno,Italie,10.4016888,43.7228386,,
Pisa,Italie,10.4016888,43.7228386,,
Pise,Italie,10.4016888,43.7228386,,
Fucecchio,Italie,10.806722,43.727867,,
Pieve Swala,Italie,11.7138217,43.7438701,,
Cerreto Guidi (Toscane),Italie,10.8677256,43.7487083,,
Florence,Italie,11.2558136,43.7695604,,
La Monna,Italie,11.2627636,43.7730876,,
Pontassiève,Italie,11.4384686,43.7747178,,
Momazoccio,Italie,12.8539909,43.7957962,,
Monbavoccio,Italie,12.8539909,43.7957962,,
Tavoleto,Italie,12.5910244,43.8449635,,
Arliano,Italie,10.405387,43.8478013,,
Borgo Buggliani,Italie,10.7255985,43.880175,,
Rochetta,Italie,7.5998146,43.8907219,,
Pistoia,Italie,10.9079,43.9302,,
San Mario,Italie,12.457777,43.94236,,
Borga San Lorengo,Italie,11.3847483,43.9543788,,
Vallechia,Italie,10.2286323,43.9595513,,
Coriano,Italie,12.5412761,43.9620478,,
Stoettoia,Italie,10.1977958,43.9966489,,
Belvédère (Alpes-Maritimes),Italie,7.320118,44.014822,,
Belvedere,France,7.320118,44.014822,"Belvédère (Alpes-Maritimes), Italie",
Marina Massa,Italie,10.0687182,44.0273656,,
Massa,Italie,10.1591213,44.0505284,,
Rimini,Italie,12.5695158,44.0678288,,
Montiano,Italie,12.2948557,44.0689137,,
Carrare,Italie,10.097677,44.0793245,,
Montepiano,Italie,11.1619808,44.0925157,,
Cesena,Italie,12.2464292,44.1396438,,
Ceséna,Italie,12.2464292,44.1396438,,
